aX,aY,aZ,gX,gY,gZ
0.06,0.67,0.49,46.27,70.1443.33,
0.06,0.67,0.51,55.72,72.5239.62,
0.07,0.69,0.53,62.02,74.9735.98,
0.09,0.72,0.56,68.81,77.4931.22,
0.11,0.78,0.58,72.24,78.6829.89,
0.09,0.85,0.60,74.62,78.5429.54,
0.05,0.98,0.61,54.67,77.5632.13,
0.01,1.11,0.61,58.94,74.3437.31,
-0.02,1.22,0.67,41.09,70.3541.93,
-0.05,1.39,0.80,22.12,69.1644.73,
0.00,1.51,0.95,4.62,64.6851.31,
0.10,1.37,0.95,-14.21,58.8056.07,
0.18,1.18,0.85,-34.23,53.6261.53,
0.17,0.90,0.75,-46.13,48.6568.74,
0.16,0.74,0.70,-37.10,47.7474.76,
0.12,0.73,0.51,-19.88,51.1775.25,
0.02,0.84,0.30,1.40,57.9670.49,
-0.11,0.93,0.14,18.62,64.6863.98,
-0.33,0.96,0.10,24.08,72.1757.05,
-0.42,1.00,0.13,24.22,77.1453.06,
-0.41,1.09,0.15,25.48,80.6450.82,
-0.32,1.18,0.25,22.68,84.3548.93,
-0.26,1.24,0.41,8.68,85.5444.52,
-0.23,1.18,0.45,-9.45,74.3433.81,
-0.12,1.06,0.46,-20.44,63.2827.51,
0.02,0.91,0.40,-25.20,66.8524.78,
0.05,0.76,0.31,-18.62,72.2422.19,
0.04,0.70,0.24,-7.07,79.5220.02,
0.00,0.71,0.15,6.30,86.5917.78,
-0.03,0.73,0.06,22.68,89.6014.21,
-0.07,0.91,0.03,39.97,84.2110.36,
-0.04,1.02,0.05,57.68,77.4910.15,
-0.07,1.16,0.08,71.61,73.579.03,
-0.09,1.23,0.18,75.53,71.968.33,
-0.07,1.23,0.28,79.73,69.7910.36,
-0.07,1.20,0.31,80.22,64.7513.23,
-0.04,1.06,0.31,77.21,59.3615.12,
0.01,1.02,0.28,71.05,56.2114.42,
0.02,0.94,0.24,65.03,56.1413.09,
0.01,0.90,0.22,57.96,58.1711.20,
-0.02,0.86,0.18,56.56,61.118.75,
-0.05,0.85,0.15,59.29,62.795.53,
-0.09,0.85,0.14,63.98,63.14-0.91,
-0.11,0.86,0.15,67.69,64.12-6.58,
-0.15,0.87,0.15,68.25,66.01-10.92,
-0.17,0.87,0.14,64.26,67.48-15.26,
-0.18,0.86,0.15,56.14,65.87-18.55,
-0.15,0.80,0.14,52.43,63.56-19.88,
-0.10,0.75,0.11,48.93,59.15-19.46,
-0.08,0.73,0.07,46.97,53.20-17.57,
-0.05,0.72,0.05,44.73,46.90-14.14,
-0.05,0.72,0.06,45.64,38.36-11.20,
-0.06,0.74,0.10,51.03,32.83-10.29,
-0.08,0.80,0.14,60.69,28.42-11.13,
-0.08,0.90,0.15,69.79,25.55-12.74,
-0.07,1.03,0.15,72.10,22.68-14.14,
-0.06,1.12,0.15,66.08,19.11-15.89,
-0.06,1.11,0.15,55.02,17.29-18.55,
-0.05,1.06,0.16,46.13,17.22-23.03,
-0.04,1.06,0.16,36.26,19.60-27.44,
-0.03,1.08,0.14,27.86,21.00-30.66,
-0.05,1.09,0.15,16.52,22.89-33.04,
-0.04,1.09,0.17,7.91,21.35-35.07,
-0.02,1.04,0.18,2.80,16.87-35.77,
0.04,0.98,0.17,0.84,12.81-34.86,
0.06,0.93,0.13,2.73,12.39-31.99,
0.05,0.91,0.06,6.02,14.00-29.33,
0.03,0.92,-0.02,7.28,16.31-27.44,
0.02,0.93,-0.03,8.05,18.27-24.64,
0.03,0.99,0.00,9.31,18.83-23.52,
0.02,1.04,0.05,8.05,16.24-20.51,
-0.01,1.08,0.11,5.95,14.21-18.34,
-0.04,1.14,0.17,3.50,14.28-17.01,
-0.04,1.17,0.19,0.21,15.54-15.75,
-0.01,1.17,0.16,-3.01,16.80-15.26,
0.03,1.00,0.15,-4.55,18.34-13.79,
0.06,1.10,0.17,-5.60,19.60-14.07,
0.07,1.08,0.23,-6.86,24.01-12.53,
0.11,1.10,0.26,-6.93,28.14-14.21,
0.14,1.07,0.29,-8.75,32.83-13.65,
0.16,1.08,0.27,-13.51,36.12-13.37,
0.17,1.08,0.25,-21.28,36.96-11.34,
0.17,1.14,0.24,-29.61,37.66-8.54,
