aX,aY,aZ,gX,gY,gZ
-0.02,0.86,0.49,1.12,-0.141.47,
-0.02,0.86,0.49,1.19,-0.771.12,
-0.03,0.86,0.49,1.19,-1.470.77,
-0.03,0.86,0.49,1.19,-2.030.84,
-0.03,0.85,0.49,1.05,-2.870.07,
-0.02,0.85,0.49,1.12,-2.940.91,
-0.01,0.84,0.49,1.19,-2.591.26,
-0.01,0.85,0.5,1.12,-2.031.19,
-0.01,0.85,0.5,0.98,-0.911.61,
-0.01,0.86,0.49,0.91,-0.141.89,
-0.02,0.86,0.49,0.98,0.561.40,
-0.02,0.86,0.49,1.19,0.911.33,
-0.03,0.86,0.48,1.54,0.911.61,
-0.03,0.85,0.48,1.54,0.561.40,
-0.03,0.86,0.49,1.75,0.070.98,
-0.02,0.87,0.48,1.19,-0.140.14,
-0.01,0.87,0.49,0.84,-1.12,
0,0.86,0.49,0.49,-1.75,
-0.01,0.85,0.49,0.49,-2.1,
-0.02,0.84,0.48,0.35,-1.75,
-0.02,0.83,0.47,0.21,-1.260.56,
-0.02,0.83,0.47,0.07,-1.541.26,
0,0.83,0.48,0.63,-1.471.05,
0,0.84,0.48,1.33,-1.750.77,
0,0.85,0.48,2.17,-1.960.00,
-0.01,0.86,0.48,2.45,-2.170.14,
-0.01,0.86,0.48,2.8,-2.730.00,
-0.01,0.87,0.48,2.73,-3.360.07,
-0.01,0.87,0.48,2.38,-4.060.07,
0,0.88,0.49,2.03,-5.040.00,
0,0.88,0.48,1.68,-5.530.28,
0,0.87,0.49,1.19,-6.020.28,
0,0.86,0.48,0.21,-5.740.42,
0,0.85,0.48,-0.28,-5.180.63,
-0.01,0.84,0.48,-0.42,-4.480.77,
-0.01,0.83,0.49,-0.14,-3.781.05,
-0.01,0.83,0.49,0.49,-2.871.40,
-0.01,0.83,0.5,1.47,-2.171.26,
-0.01,0.84,0.51,2.03,-1.611.05,
-0.01,0.86,0.51,2.66,-1.120.77,
-0.01,0.87,0.5,2.59,-1.261.26,
-0.02,0.87,0.5,2.17,-1.751.26,
-0.02,0.87,0.49,1.61,-2.241.40,
-0.02,0.87,0.49,0.77,-2.591.05,
-0.01,0.86,0.49,0.42,-2.661.12,
0,0.85,0.49,0.28,-2.310.56,
0,0.85,0.49,0.56,-2.100.28,
0,0.85,0.5,1.12,-1.75,
0,0.85,0.5,1.05,-1.260.14,
0,0.85,0.5,1.12,-1.26,
0,0.85,0.5,1.12,-1.05,
-0.01,0.85,0.49,1.47,-0.700.63,
-0.01,0.85,0.49,1.47,-0.140.63,
-0.01,0.85,0.49,1.75,0.000.91,
-0.01,0.85,0.49,1.68,0.421.19,
-0.01,0.85,0.48,1.61,0.980.98,
0,0.85,0.49,1.89,1.330.28,
0,0.85,0.5,2.24,1.960.28,
0,0.85,0.5,3.15,2.170.00,
-0.01,0.86,0.5,3.57,1.68-0.35,
-0.01,0.86,0.5,3.36,1.19-0.14,
-0.01,0.87,0.5,3.01,0.98-0.21,
-0.01,0.87,0.49,2.17,1.190.35,
-0.01,0.87,0.49,1.54,1.750.56,
-0.01,0.87,0.48,0.84,2.171.40,
-0.01,0.87,0.48,-0.07,2.311.54,
-0.01,0.86,0.47,-0.63,2.311.82,
-0.02,0.85,0.47,-0.7,1.892.31,
-0.02,0.85,0.47,-0.49,1.472.03,
-0.02,0.85,0.47,-0.28,0.842.45,
-0.02,0.85,0.47,-0.35,-0.421.75,
-0.02,0.86,0.47,-0.07,-1.191.54,
-0.02,0.86,0.47,0.07,-2.171.54,
-0.02,0.86,0.47,0,-2.731.40,
-0.02,0.85,0.48,0,-2.941.33,
-0.01,0.85,0.48,0.21,-2.941.61,
-0.01,0.85,0.48,0.28,-2.730.91,
0,0.85,0.49,0.49,-2.590.84,
0,0.85,0.49,0.91,-2.240.35,
0,0.86,0.49,1.33,-2.1,
0,0.86,0.49,1.61,-2.17,
0,0.86,0.49,1.82,-1.54,
0,0.85,0.5,1.96,-1.33,
-0.01,0.86,0.49,1.96,-0.7,
-0.01,0.85,0.49,1.89,-0.35,
-0.01,0.85,0.5,2.03,0.00-0.07,
-0.01,0.85,0.5,2.17,0.14-0.07,
-0.01,0.85,0.5,2.17,0.42-0.21,
-0.01,0.86,0.5,1.96,0.630.07,
0,0.85,0.51,1.75,1.12-0.42,
0,0.86,0.51,1.75,1.400.14,
0,0.86,0.51,1.54,1.820.28,
-0.01,0.86,0.5,1.26,2.030.21,
-0.01,0.86,0.49,0.77,1.890.28,
-0.02,0.86,0.49,0.42,1.680.28,
