aX,aY,aZ
0.625,0.654,-0.626
0.627,0.644,-0.66
0.633,0.641,-0.705
0.655,0.645,-0.726
0.682,0.651,-0.77
0.697,0.654,-0.813
0.713,0.665,-0.831
0.73,0.708,-0.872
0.739,0.766,-0.947
0.753,0.802,-1.032
0.768,0.874,-1.078
0.801,0.962,-1.146
0.828,1.051,-1.182
0.839,1.087,-1.181
0.838,1.224,-1.132
0.836,1.32,-1.088
0.862,1.3,-1.164
0.826,1.103,-1.16
0.837,1.061,-0.993
0.833,1.01,-0.827
0.8,0.941,-0.761
0.763,0.881,-0.623
0.666,0.851,-0.541
0.564,0.838,-0.519
0.542,0.838,-0.492
0.51,0.831,-0.495
0.515,0.828,-0.516
0.598,0.825,-0.511
0.752,0.754,-0.502
0.811,0.651,-0.51
0.832,0.59,-0.509
0.759,0.494,-0.482
0.726,0.459,-0.44
0.684,0.402,-0.421
0.701,0.408,-0.368
0.724,0.317,-0.378
0.7,0.253,-0.435
0.659,0.179,-0.441
0.65,0.14,-0.455
0.584,0.127,-0.476
0.539,0.105,-0.518
0.521,0.069,-0.529
0.468,0.04,-0.523
0.432,-0.016,-0.476
0.424,-0.035,-0.427
0.405,-0.091,-0.408
0.411,-0.178,-0.366
0.41,-0.235,-0.355
0.431,-0.251,-0.37
0.434,-0.285,-0.422
0.401,-0.34,-0.454
0.38,-0.437,-0.497
0.4,-0.473,-0.456
0.427,-0.462,-0.426
0.515,-0.508,-0.353
0.585,-0.488,-0.173
0.797,-0.375,0.051
1.162,-0.379,0.232
0.528,-0.408,0.255
-0.278,-0.935,-1.494
-1.061,-0.843,-0.914
0.041,-0.52,-0.497
0.367,-0.868,-0.097
0.476,-1.111,-0.418
0.553,-1.011,-0.611
0.642,-0.911,-0.614
0.665,-0.853,-0.56
0.6,-0.842,-0.511
0.495,-0.838,-0.485
0.48,-0.813,-0.419
0.45,-0.809,-0.394
0.376,-0.822,-0.386
0.356,-0.826,-0.392
0.337,-0.841,-0.414
0.339,-0.842,-0.457
0.344,-0.841,-0.515
0.364,-0.836,-0.54
0.379,-0.85,-0.626
0.381,-0.825,-0.635
0.375,-0.815,-0.678
0.383,-0.801,-0.714
0.382,-0.785,-0.738
0.376,-0.778,-0.768
0.368,-0.752,-0.795
0.369,-0.708,-0.846
0.368,-0.683,-0.862
0.368,-0.625,-0.859
0.376,-0.549,-0.855
0.398,-0.503,-0.873
0.433,-0.41,-0.888
0.447,-0.321,-0.914
0.463,-0.294,-0.947
0.472,-0.258,-0.977
0.466,-0.239,-1.019
0.457,-0.238,-1.056
0.446,-0.26,-1.073
0.437,-0.29,-1.1
0.426,-0.306,-1.121
0.42,-0.345,-1.144
0.436,-0.352,-1.158
0.447,-0.345,-1.178
0.472,-0.339,-1.194
0.494,-0.331,-1.198
0.513,-0.317,-1.204
0.519,-0.309,-1.189
0.526,-0.305,-1.174
0.521,-0.306,-1.139
0.512,-0.314,-1.089
0.494,-0.319,-1.034
0.465,-0.333,-0.994
0.449,-0.35,-0.915
0.427,-0.359,-0.851
0.419,-0.368,-0.822
0.424,-0.369,-0.78
0.437,-0.371,-0.764
0.454,-0.374,-0.762
0.465,-0.374,-0.754
0.482,-0.379,-0.754
0.492,-0.387,-0.754
0.749,0.244,-0.903
0.826,0.307,-1.152
0.605,0.712,-1.241
0.474,1.015,-1.159
0.66,0.589,-0.926
0.706,0.586,-0.907
0.784,0.622,-0.841
0.969,0.427,-0.834
0.797,0.524,-0.783
0.773,0.639,-0.528
0.757,0.516,-0.545
0.739,0.634,-0.373
0.765,0.707,-0.313
0.815,0.632,-0.299
0.698,0.721,-0.291
0.542,0.834,-0.003
0.552,0.769,0.332
0.529,0.973,-0.078
0.606,0.784,0.115
0.57,0.754,-0.216
0.585,0.71,-0.28
0.619,0.679,-0.342
0.598,0.71,-0.377
0.586,0.612,-0.255
0.532,0.546,-0.097
0.495,0.517,0.048
0.408,0.514,0.164
0.357,0.523,0.258
0.389,0.618,0.286
0.419,0.874,0.219
0.47,0.757,0.197
0.502,0.661,0.144
0.528,0.536,-0.139
0.493,0.421,-0.341
0.508,0.683,-0.375
0.538,0.811,-0.396
0.564,0.59,-0.416
0.529,0.495,-0.373
0.498,0.556,-0.289
0.469,0.58,-0.17
0.408,0.636,-0.124
0.351,0.744,-0.104
0.422,0.793,-0.112
0.438,0.818,-0.028
0.451,0.842,0.021
0.448,0.888,0.082
0.458,0.974,0.094
0.443,0.96,0.111
0.438,0.871,0.2
0.45,0.872,0.191
0.457,0.885,0.136
0.436,0.881,0.112
0.451,0.871,0.107
0.471,0.892,0.108
0.481,0.872,0.122
0.492,0.866,0.138
0.506,0.814,0.109
0.509,0.753,0.083
0.404,0.862,0.221
0.325,0.768,0.255
0.428,0.834,0.204
0.532,0.887,0.061
0.528,0.941,0.063
0.553,0.912,0.097
0.615,0.893,0.1
0.54,0.923,0.113
0.526,0.907,0.106
0.521,0.992,0.158
0.487,1.08,0.22
0.504,1.06,0.284
0.534,1.094,0.295
0.512,1.118,0.34
0.515,1.083,0.366
0.472,1.152,0.31
0.431,1.037,0.215
0.418,1.049,0.289
0.435,0.961,0.223
0.437,0.97,0.232
0.436,0.925,0.243
0.418,0.918,0.225
0.407,0.978,0.256
0.404,0.926,0.26
0.437,0.885,0.269
0.443,0.921,0.298
0.424,0.914,0.278
0.407,0.958,0.311
0.411,0.969,0.323
0.387,0.937,0.133
0.371,0.937,0.244
0.368,0.928,0.235
0.366,0.894,0.216
0.361,0.871,0.227
0.384,0.854,0.231
0.41,0.839,0.222
0.405,0.82,0.186
0.416,0.812,0.181
0.405,0.803,0.173
0.391,0.786,0.181
0.357,0.784,0.18
0.349,0.758,0.2
0.348,0.763,0.216
0.377,0.783,0.217
0.379,0.772,0.202
0.377,0.764,0.202
0.366,0.755,0.204
0.383,0.788,0.219
0.387,0.777,0.217
0.372,0.763,0.199
0.351,0.804,0.204
