aX,aY,aZ
0.764,-0.297,0.938
0.773,-0.327,0.924
0.78,-0.49,0.915
0.772,-0.407,0.906
0.758,-0.437,0.912
0.761,-0.471,0.923
0.759,-0.505,0.917
0.746,-0.531,0.91
0.721,-0.544,0.904
0.682,-0.562,0.896
0.642,-0.578,0.882
0.615,-0.603,0.866
0.59,-0.633,0.857
0.566,-0.66,0.866
0.534,-0.718,0.871
0.52,-0.73,0.873
0.507,-0.766,0.878
0.509,-0.832,0.894
0.513,-0.892,0.892
0.527,-0.909,0.875
0.56,-0.914,0.865
0.57,-0.919,0.849
0.585,-0.921,0.83
0.617,-0.913,0.815
0.651,-0.88,0.8
0.676,-0.82,0.802
0.73,-0.787,0.807
0.736,-0.776,0.753
0.726,-0.63,0.689
0.681,-0.689,0.664
0.59,-0.635,0.62
0.528,-0.597,0.628
0.4,-0.573,0.633
0.273,-0.548,0.675
0.205,-0.551,0.717
0.084,-0.524,0.704
-0.061,-0.45,0.678
-0.226,-0.332,0.595
-0.307,-0.188,0.501
-0.462,-0.088,0.407
-0.638,0.12,0.364
-0.718,0.298,0.307
-0.828,0.38,0.278
-0.923,0.547,0.279
-0.962,0.719,0.3
-1.032,0.791,0.38
-1.092,0.946,0.414
-1.127,1.175,0.514
-1.189,1.261,0.62
-1.215,1.402,0.678
-1.213,1.522,0.792
-1.2,1.59,0.949
-1.144,1.701,1.04
-1.114,1.773,1.215
-0.995,1.788,1.39
-0.823,1.772,1.488
-0.733,1.759,1.683
-0.5,1.749,1.881
-0.251,1.711,1.975
-0.1,1.68,2.161
0.232,1.59,2.277
0.624,1.491,2.294
0.817,1.419,2.234
1.167,1.421,2.101
1.431,1.43,1.995
1.526,1.444,1.72
1.618,1.498,1.576
1.62,1.563,1.301
1.53,1.626,1.045
1.327,1.631,0.914
1.188,1.591,0.703
0.912,1.498,0.616
0.465,1.845,0.589
0.397,1.442,0.675
0.065,1.497,0.673
-0.108,1.368,0.836
-0.492,1.333,0.867
-0.33,1.184,1.112
-0.649,1.051,0.993
-0.687,1.078,1.098
-0.711,1.124,1.11
-0.771,0.951,1.029
-0.85,0.898,0.94
-0.919,0.922,0.896
-0.955,0.841,0.878
-1.015,0.843,0.875
-1.07,0.821,0.858
-1.069,0.765,0.83
-1.061,0.682,0.765
-1.051,0.654,0.748
-1.026,0.634,0.749
-1.006,0.58,0.743
-0.922,0.557,0.706
-0.852,0.517,0.702
-0.783,0.497,0.755
-0.848,0.308,0.966
-0.572,0.565,0.857
-0.325,0.469,0.66
-0.224,0.293,0.639
-0.262,0.143,0.713
-0.278,0.175,0.821
-0.088,0.223,0.823
-0.03,0.092,0.73
0.045,0.038,0.634
0.123,-0.088,0.617
0.098,-0.314,0.725
0.219,-0.163,0.601
0.447,-0.096,0.553
0.472,-0.345,0.516
0.479,-0.401,0.55
0.553,-0.392,0.577
0.613,-0.334,0.61
0.636,-0.352,0.637
0.589,-0.418,0.691
0.693,-0.331,0.605
0.748,-0.349,0.529
0.724,-0.38,0.513
0.679,-0.441,0.567
0.674,-0.483,0.659
0.762,-0.711,0.613
0.732,-0.694,0.605
0.671,-0.709,0.618
0.656,-0.819,0.737
0.647,-0.82,0.754
0.681,-0.9,0.762
0.678,-0.962,0.783
0.65,-0.967,0.789
0.574,-0.992,0.84
0.636,-0.885,0.753
0.711,-0.903,0.753
0.641,-0.929,0.765
0.635,-0.859,0.797
0.673,-0.797,0.821
0.732,-0.742,0.83
0.754,-0.753,0.793
0.786,-0.748,0.773
0.821,-0.711,0.745
0.83,-0.693,0.754
0.839,-0.68,0.756
0.845,-0.593,0.773
0.851,-0.569,0.799
0.884,-0.568,0.773
0.854,-0.565,0.75
0.828,-0.54,0.708
0.793,-0.499,0.709
0.754,-0.447,0.717
0.732,-0.461,0.715
0.703,-0.472,0.698
0.695,-0.467,0.688
0.683,-0.464,0.672
0.657,-0.471,0.67
0.655,-0.48,0.669
0.666,-0.504,0.676
0.68,-0.512,0.69
0.681,-0.516,0.706
0.681,-0.507,0.723
0.676,-0.476,0.793
0.684,-0.477,0.809
0.687,-0.494,0.824
0.68,-0.483,0.869
0.676,-0.466,0.885
0.671,-0.437,0.913
0.658,-0.422,0.955
0.635,-0.411,0.971
0.627,-0.398,1.005
0.627,-0.394,1.03
0.617,-0.36,1.048
0.619,-0.343,1.079
0.616,-0.331,1.081
0.611,-0.311,1.07
0.628,-0.295,1.063
0.631,-0.284,1.042
0.633,-0.274,1.022
0.641,-0.248,1.01
0.639,-0.212,0.992
0.638,-0.193,0.959
0.646,-0.171,0.935
0.651,-0.13,0.909
0.661,-0.134,0.876
0.667,-0.133,0.867
0.671,-0.13,0.861
0.687,-0.135,0.851
0.69,-0.157,0.839
0.687,-0.125,0.825
0.687,-0.135,0.82
0.683,-0.135,0.809
0.681,-0.148,0.798
0.679,-0.164,0.784
0.672,-0.17,0.776
0.668,-0.179,0.773
0.66,-0.19,0.773
0.637,-0.191,0.769
0.614,-0.189,0.771
0.614,-0.204,0.758
0.601,-0.2,0.766
0.591,-0.195,0.775
0.586,-0.241,0.773
0.576,-0.254,0.775
0.578,-0.275,0.784
0.584,-0.314,0.794
0.593,-0.327,0.79
0.591,-0.311,0.798
0.59,-0.321,0.814
0.61,-0.338,0.798
0.617,-0.352,0.795
0.617,-0.369,0.801
0.63,-0.377,0.811
0.641,-0.392,0.822
0.661,-0.403,0.841
0.689,-0.426,0.852
0.704,-0.461,0.88
0.723,-0.479,0.894
0.728,-0.463,0.912
0.731,-0.476,0.934
0.734,-0.485,0.941
0.738,-0.497,0.946
0.745,-0.509,0.953
0.75,-0.513,0.955
0.754,-0.514,0.956
0.757,-0.506,0.949
0.765,-0.509,0.955
0.758,-0.51,0.955
0.76,-0.488,0.939
0.775,-0.479,0.922
0.789,-0.485,0.922
0.792,-0.482,0.922
0.8,-0.475,0.914
0.813,-0.473,0.911
0.821,-0.469,0.899
0.823,-0.465,0.892
0.823,-0.461,0.883
0.825,-0.46,0.877
0.824,-0.465,0.862
0.816,-0.47,0.844
0.817,-0.486,0.84
0.821,-0.623,0.836
0.822,-0.528,0.841
0.821,-0.557,0.85
0.82,-0.603,0.874
0.8,-0.642,0.888
0.794,-0.684,0.898
0.793,-0.708,0.897
0.792,-0.761,0.895
0.789,-0.805,0.889
0.784,-0.82,0.874
0.769,-0.838,0.868
0.756,-0.843,0.854
0.732,-0.845,0.85
0.723,-0.846,0.854
0.733,-0.858,0.859
0.737,-0.869,0.857
0.733,-0.874,0.84
0.731,-0.87,0.826
