aX,aY,aZ,gX,gY,gZ
-0.08,0.96,0.16,-0.7,-1.190.98,
-0.09,0.96,0.16,-0.49,-1.120.98,
-0.1,0.97,0.16,0,-1.260.77,
-0.1,0.97,0.16,0.7,-1.680.49,
-0.09,0.97,0.16,0.49,-1.960.42,
-0.08,0.97,0.16,0.7,-2.240.35,
-0.08,0.97,0.17,0.56,-2.310.70,
-0.07,0.97,0.17,-0.21,-2.030.70,
-0.06,0.96,0.17,-0.42,-1.120.28,
-0.07,0.96,0.16,-0.77,-1.050.98,
-0.07,0.96,0.17,-1.47,-0.770.91,
-0.07,0.96,0.15,-1.68,-0.420.84,
-0.07,0.96,0.16,-1.19,0.140.84,
-0.08,0.97,0.16,-1.33,0.910.84,
-0.08,0.96,0.17,-1.19,0.840.56,
-0.08,0.96,0.17,-0.63,0.630.91,
-0.08,0.97,0.18,-0.49,0.701.05,
-0.08,0.97,0.18,-0.77,0.980.84,
-0.09,0.96,0.17,-0.56,1.400.98,
-0.09,0.96,0.18,-0.21,1.260.84,
-0.1,0.96,0.17,-0.14,1.050.91,
-0.09,0.96,0.17,0.28,0.700.70,
-0.1,0.96,0.17,0.42,0.490.91,
-0.09,0.96,0.17,0.84,0.070.28,
-0.09,0.96,0.18,-0.14,-0.561.12,
-0.09,0.96,0.19,-0.35,-1.050.91,
-0.08,0.97,0.19,17.78,-1.260.49,
-0.09,0.97,0.19,0.14,-1.050.56,
-0.09,0.97,0.19,0,-0.910.77,
-0.09,0.97,0.18,-0.07,-1.050.35,
-0.1,0.97,0.17,-0.14,-1.330.35,
-0.09,0.96,0.16,-0.28,-1.260.49,
-0.09,0.96,0.16,-0.56,-1.54-0.21,
-0.09,0.97,0.16,-0.77,-1.61-0.14,
-0.08,0.96,0.15,-1.33,-1.68-0.21,
-0.07,0.96,0.16,-1.4,-2.38-0.21,
-0.07,0.96,0.16,-1.26,-2.59-0.07,
-0.07,0.96,0.16,-1.4,-3.220.42,
-0.07,0.96,0.17,-1.12,-3.640.91,
-0.07,0.95,0.18,-0.84,-2.871.19,
-0.07,0.95,0.18,-0.14,-1.331.54,
-0.07,0.95,0.18,0.42,-0.491.82,
-0.08,0.96,0.18,0.7,0.421.89,
-0.07,0.97,0.17,1.47,1.192.38,
-0.08,0.96,0.17,1.19,0.701.82,
-0.08,0.96,0.17,1.19,0.701.82,
-0.07,0.97,0.18,0.56,0.632.10,
-0.07,0.97,0.18,0.14,0.141.68,
-0.07,0.97,0.19,0.28,0.981.33,
-0.07,0.96,0.18,0.7,1.121.47,
-0.08,0.96,0.18,0.77,0.631.40,
-0.08,0.95,0.19,0.98,1.121.40,
-0.09,0.96,0.19,0.7,0.980.98,
-0.09,0.96,0.19,0.56,0.981.05,
-0.09,0.96,0.2,0.7,0.840.91,
-0.1,0.96,0.19,0.84,0.140.98,
-0.1,0.96,0.2,0.49,-0.701.05,
-0.1,0.96,0.19,0.42,-0.840.56,
-0.1,0.96,0.19,0.7,-1.610.21,
-0.1,0.96,0.18,0.7,-2.170.28,
-0.1,0.96,0.18,0.56,-2.590.21,
-0.1,0.96,0.18,0.28,-3.50-0.07,
-0.1,0.96,0.18,0,-4.130.42,
-0.1,0.96,0.17,-0.07,-4.620.00,
-0.1,0.96,0.17,0.35,-5.04-0.28,
-0.1,0.96,0.16,0.49,-5.67-0.21,
-0.1,0.95,0.17,0.77,-7.280.28,
-0.09,0.95,0.18,0.98,-8.050.14,
-0.09,0.96,0.19,0.42,-8.470.28,
-0.09,0.96,0.18,0.63,-7.70-0.28,
-0.09,0.96,0.18,0.7,-7.56-0.21,
-0.1,0.95,0.18,0.84,-8.260.07,
-0.1,0.97,0.18,1.26,-10.010.00,
-0.1,0.96,0.19,1.82,-10.220.49,
-0.12,0.96,0.19,2.38,-11.130.49,
-0.12,0.93,0.19,3.78,-11.900.14,
-0.12,0.94,0.2,4.34,-14.000.91,
-0.13,0.93,0.21,5.32,-15.611.47,
-0.15,0.93,0.22,5.95,-17.012.24,
-0.16,0.95,0.22,7.07,-17.502.59,
-0.17,0.97,0.22,6.65,-18.693.01,
-0.06,1.1,0.22,10.36,-17.43-0.70,
-0.17,0.92,0.18,5.18,-17.29-0.63,
-0.17,0.92,0.19,9.45,-24.01-0.35,
-0.18,0.93,0.2,11.13,-26.53-0.35,
-0.18,0.95,0.16,9.8,-29.54-0.21,
-0.12,0.97,0.18,11.2,-31.92-0.63,
-0.08,0.98,0.17,9.73,-31.01-0.91,
-0.04,0.98,0.15,8.05,-29.82-0.77,
-0.02,0.98,0.15,7.35,-28.00-0.70,
-0.01,0.98,0.16,7.21,-24.85-0.70,
0,0.99,0.15,6.23,-21.77-0.49,
0.01,1,0.15,4.06,-18.76-0.49,
0.02,1.01,0.15,2.45,-15.33-0.98,
0.03,1.01,0.15,1.33,-11.97-1.12,
0.04,1,0.15,-0.21,-8.61-0.77,
0.04,0.98,0.14,-2.03,-2.80-0.49,
0.04,0.97,0.12,-2.24,0.770.07,
0.04,0.97,0.12,-2.38,3.85-0.14,
0.03,0.97,0.1,-2.73,6.580.07,
0.03,0.98,0.12,-3.08,9.030.21,
0.01,0.98,0.12,-3.71,11.27-0.21,
0.01,0.99,0.12,-3.71,13.86-0.28,
-0.01,0.99,0.12,-4.06,16.03-0.42,
-0.03,0.98,0.12,-4.06,17.22-0.63,
-0.06,0.97,0.14,-3.92,17.08-0.28,
-0.08,0.96,0.14,-3.64,16.590.14,
-0.1,0.96,0.15,-3.36,15.61-17.78,
-0.11,0.95,0.16,-3.29,13.580.28,
-0.12,0.95,0.17,-2.94,11.200.35,
-0.13,0.95,0.19,-2.31,9.03-0.07,
-0.14,0.94,0.2,-0.56,7.280.21,
-0.14,0.93,0.2,0.7,5.320.21,
-0.14,0.94,0.2,1.33,2.520.49,
-0.14,0.94,0.21,1.26,-0.140.91,
-0.14,0.96,0.21,1.4,-1.261.61,
-0.13,0.97,0.2,1.05,-3.920.98,
-0.13,0.97,0.18,0.42,-5.320.84,
-0.11,0.97,0.18,-0.14,-6.37-0.07,
-0.09,0.97,0.14,-0.84,-9.380.70,
-0.07,0.96,0.15,-0.98,-12.880.49,
-0.06,0.99,0.05,0.21,-18.13-0.77,
-0.01,0.95,0.24,5.18,-17.360.35,
-0.03,0.98,0.29,-1.4,-3.85-1.75,
-0.04,0.96,0.06,12.11,-6.09-1.47,
0.02,1.07,0.24,-3.36,-6.02-1.75,
-0.02,0.89,0.19,-7.7,-0.842.52,
-0.04,0.97,0.14,-5.46,3.222.94,
-0.07,1.01,0.09,-3.15,-2.310.70,
-0.08,1.03,0.12,-7,-7.42-0.35,
-0.1,0.99,0.15,-9.73,-8.540.28,
-0.09,0.97,0.17,-9.17,-8.750.35,
-0.06,0.95,0.19,-9.45,-8.680.91,
-0.04,0.93,0.19,-5.81,-6.370.63,
