aX,aY,aZ,gX,gY,gZ
0.16,0.93,0.28,-0.14,-0.841.26,
0.16,0.93,0.28,-0.14,-0.701.33,
0.16,0.93,0.28,-0.35,-0.281.75,
0.16,0.93,0.28,-0.28,0.071.75,
0.16,0.93,0.29,-0.28,0.702.24,
0.16,0.94,0.29,-0.49,1.122.38,
0.16,0.93,0.29,-0.56,1.122.73,
0.15,0.93,0.29,-0.77,1.403.01,
0.15,0.92,0.29,-0.98,1.473.01,
0.15,0.92,0.29,-0.98,1.543.15,
0.15,0.92,0.29,-0.77,1.753.50,
0.15,0.92,0.29,-0.35,2.033.22,
0.15,0.92,0.29,0.14,2.313.22,
0.16,0.92,0.29,0.35,2.943.57,
0.15,0.93,0.29,0.42,3.853.50,
0.16,0.93,0.29,0.07,4.763.64,
0.16,0.93,0.29,-0.28,5.603.92,
0.16,0.93,0.29,-0.28,5.883.92,
0.16,0.93,0.29,-0.21,5.954.13,
0.16,0.94,0.29,-0.56,6.094.48,
0.15,0.93,0.29,-0.56,5.815.04,
0.15,0.93,0.29,-0.63,5.745.04,
0.15,0.93,0.29,-0.56,5.535.11,
0.15,0.92,0.29,-0.07,5.534.83,
0.14,0.92,0.3,0.7,5.884.62,
0.14,0.93,0.29,0.7,6.164.06,
0.13,0.93,0.28,0.49,5.673.36,
0.14,0.92,0.28,0.63,5.113.15,
0.14,0.92,0.28,0.56,5.392.52,
0.14,0.93,0.28,0.56,5.532.38,
0.14,0.93,0.29,0.49,5.602.38,
0.15,0.94,0.29,0.49,5.882.80,
0.15,0.93,0.29,0.56,5.883.01,
0.14,0.93,0.29,0.49,5.253.22,
0.14,0.93,0.28,0.49,4.623.92,
0.14,0.93,0.28,0.21,4.343.99,
0.14,0.93,0.29,0,4.133.99,
0.14,0.93,0.28,-0.14,3.573.99,
0.14,0.93,0.28,-0.35,3.504.27,
0.13,0.93,0.28,-0.49,3.153.85,
0.13,0.93,0.28,-0.56,2.873.50,
0.12,0.93,0.28,-0.91,2.523.50,
0.12,0.93,0.28,-0.63,2.032.59,
0.12,0.93,0.28,-0.35,1.752.31,
0.13,0.93,0.28,-0.28,0.912.17,
0.13,0.92,0.28,-0.28,0.701.68,
0.14,0.92,0.28,-0.56,0.071.75,
0.14,0.92,0.29,-0.7,-0.281.54,
0.15,0.92,0.28,-0.7,-0.421.47,
0.15,0.93,0.28,-0.7,-0.631.68,
0.15,0.93,0.29,-0.42,-1.331.40,
0.15,0.94,0.29,-0.56,-1.611.19,
0.14,0.94,0.29,-0.35,-1.890.98,
0.14,0.93,0.29,-0.21,-2.170.84,
0.14,0.93,0.29,-0.28,-2.310.84,
0.14,0.93,0.29,-0.14,-2.240.70,
0.14,0.93,0.29,-0.14,-2.660.14,
0.15,0.93,0.29,-0.42,-3.220.07,
0.15,0.92,0.29,-0.7,-3.710.14,
0.15,0.92,0.28,-0.77,-3.920.35,
0.15,0.92,0.28,-0.91,-4.130.63,
0.14,0.92,0.29,-0.98,-4.270.98,
0.14,0.93,0.29,-1.05,-4.621.12,
0.14,0.93,0.29,-1.26,-5.111.26,
0.14,0.93,0.3,-1.33,-5.460.91,
0.15,0.93,0.3,-1.54,-5.950.91,
0.15,0.93,0.3,-1.47,-6.23-0.14,
0.15,0.93,0.3,-1.54,-6.44-0.28,
0.15,0.92,0.3,-1.4,-6.44-1.05,
