aX,aY,aZ,gX,gY,gZ
0.05,0.96,0.21,-0.14,0.350.63,
0.05,0.96,0.21,-0.49,0.350.35,
0.04,0.96,0.21,-0.91,0.490.49,
0.04,0.96,0.21,-1.05,0.840.56,
0.03,0.96,0.21,-0.84,0.910.35,
0.03,0.95,0.2,-0.98,0.490.42,
0.03,0.95,0.2,-0.56,-0.210.63,
0.03,0.95,0.2,0.14,-0.700.70,
0.03,0.95,0.2,0.63,-1.120.91,
0.03,0.95,0.21,1.19,-1.330.98,
0.03,0.96,0.21,1.12,-1.330.91,
0.03,0.97,0.21,0.77,-1.470.70,
0.04,0.97,0.21,0.35,-1.050.49,
0.04,0.96,0.21,-0.21,-0.700.21,
0.05,0.96,0.21,-0.7,-0.140.63,
0.05,0.96,0.21,-1.05,-0.070.35,
0.05,0.96,0.21,-1.4,0.140.49,
0.04,0.96,0.21,-1.4,0.490.49,
0.04,0.95,0.21,-1.54,0.700.49,
0.03,0.96,0.21,-1.33,1.050.63,
0.03,0.96,0.21,-1.12,1.120.21,
0.03,0.96,0.21,-0.7,1.050.49,
0.02,0.96,0.22,-0.56,1.190.35,
0.02,0.95,0.22,-0.49,1.260.14,
0.02,0.95,0.22,-0.35,1.050.28,
0.02,0.96,0.22,-0.42,0.77-0.07,
0.03,0.96,0.21,-0.91,0.560.07,
0.03,0.95,0.21,-1.19,0.000.21,
0.03,0.95,0.22,-1.19,-0.630.28,
0.04,0.95,0.23,-0.7,-1.050.49,
0.04,0.96,0.23,-0.56,-1.120.70,
0.03,0.96,0.23,-0.77,-1.400.77,
0.03,0.97,0.23,-0.98,-0.910.84,
0.02,0.96,0.23,-1.4,-0.560.77,
0.03,0.95,0.23,-1.19,-0.280.84,
0.03,0.95,0.23,-0.56,0.000.77,
0.03,0.95,0.23,0.07,-0.281.12,
0.03,0.95,0.23,0.42,-0.700.91,
0.03,0.95,0.23,0.63,-0.700.98,
0.03,0.95,0.23,1.05,-0.841.26,
0.03,0.96,0.23,1.19,-0.701.12,
0.04,0.96,0.23,1.12,-0.630.77,
0.03,0.96,0.23,0.7,-0.350.70,
0.03,0.96,0.23,0.21,-0.140.63,
0.03,0.96,0.22,-0.56,-0.560.35,
0.03,0.97,0.22,-1.05,-1.260.35,
0.03,0.98,0.22,-1.47,-1.820.21,
0.04,0.98,0.21,-1.96,-2.17-0.49,
0.03,0.98,0.2,-2.59,-2.31-0.56,
0.04,0.97,0.2,-2.87,-2.52-1.33,
0.04,0.97,0.2,-3.22,-2.66-1.26,
0.04,0.96,0.2,-3.64,-2.45-1.40,
0.04,0.96,0.2,-3.78,-2.24-1.61,
0.04,0.95,0.21,-3.64,-1.68-1.75,
0.04,0.94,0.22,-2.87,-1.61-1.54,
0.03,0.93,0.22,-1.96,-1.33-0.98,
